No.	n_rate	c_rate	gBC	taeGut_B	ficAlb_B	pseHum_B	corBra_B	melUnd_B	falPer_B	picPub_B	lepDis_B	halLeu_B	aptFor_B	pygAde_B	fulGla_B	nipNip_B	balReg_B	chaVoc_B	calAnn_B	chaPel_B	cucCan_B	colLiv_B	mesUni_B	galGal_B	melGal_B	anaPla_B	aptHaa_B	aptOwe_B	aptRow_B	casCas_B	droNov_B	rheAme_B	rhePen_B	cryCin_B	tinGut_B	eudEle_B	notPer_B	anoDid_B	strCam_B	allMis_B	allSin_B	croPor_B	gavGan_B	chrPic_B	cheMyd_B	anoCar_B	taeGut-ficAlb_B	taeGut-pseHum_B	taeGut-corBra_B	taeGut-melUnd_B	taeGut-falPer_B	picPub-lepDis_B	picPub-halLeu_B	taeGut-picPub_B	aptFor-pygAde_B	aptFor-fulGla_B	aptFor-nipNip_B	taeGut-aptFor_B	balReg-chaVoc_B	taeGut-balReg_B	calAnn-chaPel_B	calAnn-cucCan_B	taeGut-calAnn_B	colLiv-mesUni_B	taeGut-colLiv_B	galGal-melGal_B	galGal-anaPla_B	taeGut-galGal_B	aptHaa-aptOwe_B	aptHaa-aptRow_B	casCas-droNov_B	aptHaa-casCas_B	rheAme-rhePen_B	aptHaa-rheAme_B	cryCin-tinGut_B	eudEle-notPer_B	cryCin-eudEle_B	cryCin-anoDid_B	aptHaa-cryCin_B	aptHaa-strCam_B	taeGut-aptHaa_B	allMis-allSin_B	croPor-gavGan_B	allMis-croPor_B	taeGut-allMis_B	chrPic-cheMyd_B	taeGut-chrPic_B	taeGut-anoCar_B	taeGut_0	taeGut_1	taeGut_2	taeGut_3	ficAlb_0	ficAlb_1	ficAlb_2	ficAlb_3	pseHum_0	pseHum_1	pseHum_2	pseHum_3	corBra_0	corBra_1	corBra_2	corBra_3	melUnd_0	melUnd_1	melUnd_2	melUnd_3	falPer_0	falPer_1	falPer_2	falPer_3	picPub_0	picPub_1	picPub_2	picPub_3	lepDis_0	lepDis_1	lepDis_2	lepDis_3	halLeu_0	halLeu_1	halLeu_2	halLeu_3	aptFor_0	aptFor_1	aptFor_2	aptFor_3	pygAde_0	pygAde_1	pygAde_2	pygAde_3	fulGla_0	fulGla_1	fulGla_2	fulGla_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	balReg_0	balReg_1	balReg_2	balReg_3	chaVoc_0	chaVoc_1	chaVoc_2	chaVoc_3	calAnn_0	calAnn_1	calAnn_2	calAnn_3	chaPel_0	chaPel_1	chaPel_2	chaPel_3	cucCan_0	cucCan_1	cucCan_2	cucCan_3	colLiv_0	colLiv_1	colLiv_2	colLiv_3	mesUni_0	mesUni_1	mesUni_2	mesUni_3	galGal_0	galGal_1	galGal_2	galGal_3	melGal_0	melGal_1	melGal_2	melGal_3	anaPla_0	anaPla_1	anaPla_2	anaPla_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	allMis_0	allMis_1	allMis_2	allMis_3	allSin_0	allSin_1	allSin_2	allSin_3	croPor_0	croPor_1	croPor_2	croPor_3	gavGan_0	gavGan_1	gavGan_2	gavGan_3	chrPic_0	chrPic_1	chrPic_2	chrPic_3	cheMyd_0	cheMyd_1	cheMyd_2	cheMyd_3	anoCar_0	anoCar_1	anoCar_2	anoCar_3	taeGut-ficAlb_0	taeGut-ficAlb_1	taeGut-ficAlb_2	taeGut-ficAlb_3	taeGut-pseHum_0	taeGut-pseHum_1	taeGut-pseHum_2	taeGut-pseHum_3	taeGut-corBra_0	taeGut-corBra_1	taeGut-corBra_2	taeGut-corBra_3	taeGut-melUnd_0	taeGut-melUnd_1	taeGut-melUnd_2	taeGut-melUnd_3	taeGut-falPer_0	taeGut-falPer_1	taeGut-falPer_2	taeGut-falPer_3	picPub-lepDis_0	picPub-lepDis_1	picPub-lepDis_2	picPub-lepDis_3	picPub-halLeu_0	picPub-halLeu_1	picPub-halLeu_2	picPub-halLeu_3	taeGut-picPub_0	taeGut-picPub_1	taeGut-picPub_2	taeGut-picPub_3	aptFor-pygAde_0	aptFor-pygAde_1	aptFor-pygAde_2	aptFor-pygAde_3	aptFor-fulGla_0	aptFor-fulGla_1	aptFor-fulGla_2	aptFor-fulGla_3	aptFor-nipNip_0	aptFor-nipNip_1	aptFor-nipNip_2	aptFor-nipNip_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	balReg-chaVoc_0	balReg-chaVoc_1	balReg-chaVoc_2	balReg-chaVoc_3	taeGut-balReg_0	taeGut-balReg_1	taeGut-balReg_2	taeGut-balReg_3	calAnn-chaPel_0	calAnn-chaPel_1	calAnn-chaPel_2	calAnn-chaPel_3	calAnn-cucCan_0	calAnn-cucCan_1	calAnn-cucCan_2	calAnn-cucCan_3	taeGut-calAnn_0	taeGut-calAnn_1	taeGut-calAnn_2	taeGut-calAnn_3	colLiv-mesUni_0	colLiv-mesUni_1	colLiv-mesUni_2	colLiv-mesUni_3	taeGut-colLiv_0	taeGut-colLiv_1	taeGut-colLiv_2	taeGut-colLiv_3	galGal-melGal_0	galGal-melGal_1	galGal-melGal_2	galGal-melGal_3	galGal-anaPla_0	galGal-anaPla_1	galGal-anaPla_2	galGal-anaPla_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3	allMis-allSin_0	allMis-allSin_1	allMis-allSin_2	allMis-allSin_3	croPor-gavGan_0	croPor-gavGan_1	croPor-gavGan_2	croPor-gavGan_3	allMis-croPor_0	allMis-croPor_1	allMis-croPor_2	allMis-croPor_3	taeGut-allMis_0	taeGut-allMis_1	taeGut-allMis_2	taeGut-allMis_3	chrPic-cheMyd_0	chrPic-cheMyd_1	chrPic-cheMyd_2	chrPic-cheMyd_3	taeGut-chrPic_0	taeGut-chrPic_1	taeGut-chrPic_2	taeGut-chrPic_3	taeGut-anoCar_0	taeGut-anoCar_1	taeGut-anoCar_2	taeGut-anoCar_3
47	-0.597263	-1.1434	1.21932	0.865	0.922	0.0315	0.019	0	0.0015	0.035	0.037	0.031	0.028	0.193	0.0085	0.0065	0.0665	0.0005	0	0.9985	0.0005	0.0015	0.2115	0.029	0.0025	0.399	0.3205	0.187	0.7205	0.5235	0.3315	0.176	0.082	0.062	0.5635	0.0255	0.0025	0.0055	0.002	0.134	0.14	0.163	0.1725	0.0065	0.0145	0	0.154	0.1745	0	0.02	0.154	0.129	0.0515	0.349	0.1315	0.09	0.2055	0.1935	0.2	0.0545	0.0215	0.22	0.183	0.6445	0.1645	0.0005	0.019	0.0445	0.1645	0.5605	0.177	0.1115	0.0135	0.195	0.4635	0.234	0.006	0.1175	0.036	0.2155	0.0025	0.0915	0.226	0.0235	0.2585	0.013	0	0	0	0	0.8885	0.1115	0	0	0.8945	0.1055	0	0	0.891	0.109	0	0	0.933	0.067	0	0	0.844	0.156	0	0	0.955	0.045	0	0	0.9175	0.0825	0	0	0.8395	0.1605	0	0	0.931	0.069	0	0	0.8065	0.1935	0	0	0.875	0.125	0	0	0.9015	0.0985	0	0	0.9515	0.0485	0	0	0.9415	0.0585	0	0	0.935	0.065	0	0	0.9095	0.0905	0	0	0.87	0.13	0	0	0.9415	0.0585	0	0	0.959	0.041	0	0	0.9465	0.0535	0	0	0.93	0.07	0	0	0.8825	0.1175	0	0	0.957	0.043	0	0	0.3095	0.6905	0	0	0.3165	0.6835	0	0	0.2405	0.7595	0	0	0.6405	0.3595	0	0	0.706	0.294	0	0	0.8305	0.1695	0	0	0.826	0.174	0	0	0.915	0.085	0	0	0.9075	0.0925	0	0	0.9175	0.0825	0	0	0.9275	0.0725	0	0	0.952	0.048	0	0	0.9455	0.0545	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.926	0.074	0	0	0.941	0.059	0	0	0.957	0.043	0	0	0.969	0.031	0	0	0.98	0.02	0	0	0.9365	0.0635	0	0	0.966	0.034	0	0	0.984	0.016	0	0	0.912	0.088	0	0	0.9445	0.0555	0	0	0.9745	0.0255	0	0	0.988	0.012	0	0	0.971	0.029	0	0	0.9935	0.0065	0	0	0.9375	0.0625	0	0	0.969	0.031	0	0	0.9965	0.0035	0	0	0.98	0.02	0	0	0.999	0.001	0	0	0.9645	0.0355	0	0	0.985	0.015	0	0	0.999	0.001	0	0	0.342	0.658	0	0	0.3805	0.6195	0	0	0.7395	0.2605	0	0	0.7805	0.2195	0	0	0.887	0.113	0	0	0.914	0.086	0	0	0.946	0.054	0	0	0.948	0.052	0	0	0.963	0.037	0	0	0.9775	0.0225	0	0	0.9875	0.0125	0	0	0.993	0.007	0	0	0.9995	0.0005	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
72	-0.278695	-1.56199	2.29349	1	0.999	0.006	0.001	0	0.1625	0	0	0.039	0.0725	0.0035	0.012	0	0	0.0055	0	1	0	0	0	0.037	0.0845	0	0.1615	0.3445	0.0985	0.6915	0.499	0.124	0.112	0	0	0	0	0.0005	0	0.483	0.0695	0.005	0.0465	0.028	0.0025	0	0.1	0.005	0	0.039	0.104	0.0725	0.0545	0.3245	0.109	0.3335	0.009	0.156	0.1175	0.101	0	0.023	0.0095	0.163	0.012	0	0.097	0.0255	0.0345	0	0	0.1375	0.0005	0.169	0.0845	0.011	0	0.025	0.218	0.003	0	0.0125	0.154	0	0.059	0	0	0	0	0	0.9885	0.0115	0	0	0.992	0.008	0	0	0.9925	0.0075	0	0	0.995	0.005	0	0	0.989	0.011	0	0	0.996	0.004	0	0	1	0	0	0	0.9945	0.0055	0	0	0.9985	0.0015	0	0	0.925	0.075	0	0	0.905	0.095	0	0	0.725	0.275	0	0	0.9645	0.0355	0	0	0.992	0.008	0	0	0.9945	0.0055	0	0	0.9845	0.0155	0	0	0.965	0.035	0	0	0.999	0.001	0	0	0.9935	0.0065	0	0	0.9195	0.0805	0	0	0.982	0.018	0	0	0.9785	0.0215	0	0	1	0	0	0	0.034	0.966	0	0	0.031	0.969	0	0	0.025	0.975	0	0	0.8025	0.1975	0	0	0.7215	0.2785	0	0	0.936	0.064	0	0	0.9365	0.0635	0	0	0.843	0.157	0	0	0.322	0.678	0	0	0.979	0.021	0	0	0.9825	0.0175	0	0	0.996	0.004	0	0	0.949	0.051	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.9955	0.0045	0	0	0.999	0.001	0	0	0.9995	0.0005	0	0	0.9995	0.0005	0	0	0.9995	0.0005	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.936	0.064	0	0	0.9475	0.0525	0	0	0.983	0.017	0	0	1	0	0	0	0.9975	0.0025	0	0	1	0	0	0	0.996	0.004	0	0	1	0	0	0	1	0	0	0	0.996	0.004	0	0	1	0	0	0	0.9985	0.0015	0	0	1	0	0	0	1	0	0	0	0.0345	0.9655	0	0	0.0365	0.9635	0	0	0.842	0.158	0	0	0.8515	0.1485	0	0	0.9745	0.0255	0	0	0.983	0.017	0	0	0.8485	0.1515	0	0	0.992	0.008	0	0	0.9965	0.0035	0	0	0.999	0.001	0	0	0.9995	0.0005	0	0	0.9995	0.0005	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
17	-0.696965	-1.82387	2.02923	0.999	0.9955	0.001	0.525	0	0.0045	0.0095	0.0215	0.002	0.0085	0.1985	0.0165	0.002	0.007	0.0125	0.003	1	0.0005	0.018	0.0015	0.002	0.0015	0.021	0.0585	0.1725	0.0435	0.199	0.3735	0.139	0.121	0.004	0.001	0.001	0	0.006	0	0.026	0.304	0.17	0.0755	0.0025	0.0085	0	0.0155	0.068	0.005	0.159	0.0395	0.0965	0.169	0.1445	0.033	0.0465	0.2555	0.1735	0.121	0.1085	0	0.208	0.153	0.208	0.0065	0.0005	0.0025	0.0005	0.005	0.014	0.0025	0.368	0	0.1835	0.057	0.0445	0.007	0.0255	0.092	0	0	0.055	0.4195	0.0025	0.06	0	0	0	0	0	0.909	0.091	0	0	0.9415	0.0585	0	0	0.9275	0.0725	0	0	0.971	0.029	0	0	0.961	0.039	0	0	0.99	0.01	0	0	0.971	0.029	0	0	0.9915	0.0085	0	0	0.9765	0.0235	0	0	0.6485	0.3515	0	0	0.822	0.178	0	0	0.962	0.038	0	0	0.8905	0.1095	0	0	0.6145	0.3855	0	0	0.9935	0.0065	0	0	0.9925	0.0075	0	0	0.9505	0.0495	0	0	0.983	0.017	0	0	0.9635	0.0365	0	0	0.9935	0.0065	0	0	0.969	0.031	0	0	0.985	0.015	0	0	0.983	0.017	0	0	0.075	0.925	0	0	0.073	0.927	0	0	0.1055	0.8945	0	0	0.7685	0.2315	0	0	0.684	0.316	0	0	0.955	0.045	0	0	0.96	0.04	0	0	0.994	0.006	0	0	0.9925	0.0075	0	0	0.99	0.01	0	0	0.9775	0.0225	0	0	0.97	0.03	0	0	0.972	0.028	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.951	0.049	0	0	0.9725	0.0275	0	0	0.9975	0.0025	0	0	0.999	0.001	0	0	0.9995	0.0005	0	0	0.9945	0.0055	0	0	0.9985	0.0015	0	0	1	0	0	0	0.857	0.143	0	0	0.966	0.034	0	0	0.977	0.023	0	0	1	0	0	0	0.9955	0.0045	0	0	1	0	0	0	0.993	0.007	0	0	0.9955	0.0045	0	0	1	0	0	0	0.9955	0.0045	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.082	0.918	0	0	0.1155	0.8845	0	0	0.7895	0.2105	0	0	0.807	0.193	0	0	0.9955	0.0045	0	0	0.9955	0.0045	0	0	0.998	0.002	0	0	0.9975	0.0025	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
0	2.63899	-2.03492	1.94199	0.939	0.996	0.037	0.4805	0	0.039	0	0.0245	0.0015	0.0925	0.017	0.3565	0.003	0	0.0225	0.0015	1	0.0045	0.001	0.002	0.042	0	0.001	0.192	0.0625	0.036	0.6515	0.6055	0.139	0.132	0.0025	0.9685	0.002	0.0065	0.003	0.009	0.26	0.266	0.017	0.008	0.1885	0.1625	0	0.695	0.055	0.0045	0.703	0.3185	0.108	0.177	0.3555	0.1075	0.1615	0.0365	0.1655	0.328	0.035	0.0065	0.0315	0.173	0.0225	0.1035	0	0.69	0.002	0.0435	0	0.0265	0.089	0.074	0.179	0.042	0.103	0.0425	0.003	0.0825	0.006	0.001	0.078	0.026	0	0.001	0.0115	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.9995	0.0005	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.998	0.002	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
83	-1.00859	-1.34705	3.68808	1	1	0	0	0	0	0	0	0	0.043	0.027	0	0	0	0	0	1	0	0	0	0	0.0035	0	0.009	0.131	0.0565	0.2005	0.998	0.004	0.014	0	0	0	0	0	0	0	0.115	0	0.0235	0	0	0	0.024	0.0005	0	0.0175	0.035	0.0165	0.099	0.044	0	0.079	0.0235	0.114	0.005	0.007	0	0.1345	0.122	0.045	0.0015	0	0	0.001	0.0775	0	0	0.0695	0	0.099	0.189	0.0025	0	0	0	0	0	0	0.055	0	0	0	0	0	0	0	0.5795	0.4205	0	0	0.6	0.4	0	0	0.618	0.382	0	0	0.65	0.35	0	0	0.476	0.524	0	0	0.7875	0.2125	0	0	0.844	0.156	0	0	0.8085	0.1915	0	0	0.7055	0.2945	0	0	0.7975	0.2025	0	0	0.8545	0.1455	0	0	0.9	0.1	0	0	0.9475	0.0525	0	0	0.863	0.137	0	0	0.8855	0.1145	0	0	0.895	0.105	0	0	0.8515	0.1485	0	0	0.943	0.057	0	0	0.8155	0.1845	0	0	0.816	0.184	0	0	0.894	0.106	0	0	0.891	0.109	0	0	0.9435	0.0565	0	0	0.772	0.228	0	0	0.776	0.224	0	0	0.849	0.151	0	0	0.847	0.153	0	0	0.713	0.287	0	0	0.821	0.179	0	0	0.7925	0.2075	0	0	0.8905	0.1095	0	0	0.819	0.181	0	0	0.8775	0.1225	0	0	0.8835	0.1165	0	0	0.8475	0.1525	0	0	0.747	0.253	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.6365	0.3635	0	0	0.6605	0.3395	0	0	0.6745	0.3255	0	0	0.724	0.276	0	0	0.859	0.141	0	0	0.872	0.128	0	0	0.8995	0.1005	0	0	0.938	0.062	0	0	0.9	0.1	0	0	0.942	0.058	0	0	0.9725	0.0275	0	0	0.9885	0.0115	0	0	0.936	0.064	0	0	0.9925	0.0075	0	0	0.9275	0.0725	0	0	0.977	0.023	0	0	0.9955	0.0045	0	0	0.906	0.094	0	0	0.9985	0.0015	0	0	0.937	0.063	0	0	0.98	0.02	0	0	0.9995	0.0005	0	0	0.8525	0.1475	0	0	0.9125	0.0875	0	0	0.9125	0.0875	0	0	0.9485	0.0515	0	0	0.8955	0.1045	0	0	0.971	0.029	0	0	0.9245	0.0755	0	0	0.9255	0.0745	0	0	0.9595	0.0405	0	0	0.9745	0.0255	0	0	0.9915	0.0085	0	0	0.997	0.003	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
60	1.48925	-2.53525	7.07917	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.068	0	0.9995	1	0.0095	0.007	0	0	0	0	0	0	0	0.0005	0	0.001	0	0	0	0.0065	0	0	0	0	0.0025	0.0435	0.009	0	0.025	0.0035	0.0355	0.007	0.0035	0	0.001	0.0385	0	0	0	0	0	0.0015	0	0	0.3345	0	0.0645	0.0015	0.254	0	0	0.0005	0	0	0.002	0.0195	0	0	0	0	0	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.99	0.01	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.997	0.003	0	0	0.9965	0.0035	0	0	0.997	0.003	0	0	0.9975	0.0025	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
93	0.618122	-2.52772	2.64849	0.985	1	0	0.0515	0	0.002	0	0.0005	0.016	0.283	0	0.004	0	0.0125	0	0.0075	1	0	0	0	0.0005	0.002	0	0.3445	0.037	0.359	0.283	0.5855	0.4305	0.1015	0.0195	0.003	0.0005	0	0	0.001	0.0605	0.1035	0.0045	0.047	0.0215	0.014	0	0.25	0.0275	0.0325	0.0095	0.1055	0.021	0.155	0.443	0.0195	0.4715	0.0985	0.163	0.1355	0.1365	0.0265	0.0115	0.1755	0.066	0.0575	0	0.0025	0.007	0.1395	0	0.728	0.3725	0	0.1645	0.043	0.0175	0	0.0615	0.0415	0.023	0	0.5675	0.0555	0	0.036	0.0135	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.998	0.002	0	0	1	0	0	0	0.9965	0.0035	0	0	0.956	0.044	0	0	1	0	0	0	0.994	0.006	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.9995	0.0005	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.9835	0.0165	0	0	0.9925	0.0075	0	0	0.959	0.041	0	0	0.996	0.004	0	0	0.9895	0.0105	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.9995	0.0005	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.999	0.001	0	0	0.999	0.001	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
102	1.19774	-2.93496	3.55622	1	1	0	0.0025	0	0	0	0	0.0015	0.1755	0.5595	0.0015	0.001	0.0005	0.002	0	1	0	0	0	0	0	0	0.1465	0.321	0.204	0.9355	0.9945	0.089	0.0795	0	0.0005	0.001	0	0.0095	0.0015	0.2525	0.0405	0.01	0.095	0.0125	0.0015	0	0.0035	0	0	0.0125	0.072	0.044	0.128	0.098	0	0.1015	0.004	0.126	0.009	0.3955	0	0.3005	0.1245	0.0005	0.004	0	0	0	0.664	0	0.116	0.106	0.0005	0.1915	0.0725	0.055	0	0.005	0.1135	0.001	0	0.095	0.021	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.989	0.011	0	0	0.9955	0.0045	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.994	0.006	0	0	0.9855	0.0145	0	0	0.992	0.008	0	0	0.996	0.004	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
