iter	nprior_a	nprior_b	cprior_a	cprior_b	prior_l_a	prior_l_b	prior_g_a	prior_g_b
74	2.07587	0.618362	1.44098	0.110413	0.198053	1.87142	0.200669	0.015651
75	1.98963	0.686668	1.42624	0.12485	0.198053	1.87142	0.233538	0.0122261
76	1.97089	0.670639	1.49946	0.127075	0.249095	2.34771	0.233538	0.0122261
77	2.1013	0.669757	1.56679	0.106054	0.29299	2.42792	0.190004	0.0112279
78	2.07204	0.788852	1.64125	0.116309	0.255942	1.74	0.16453	0.0104048
79	2.27728	0.68179	1.64493	0.117259	0.261128	1.59919	0.115612	0.0073229
80	2.54261	0.541481	1.68494	0.120134	0.261128	1.59919	0.11538	0.00686841
81	2.7275	0.52352	1.85831	0.110895	0.266203	1.45121	0.123965	0.00645674
82	2.85967	0.574252	1.86356	0.0903815	0.193917	1.16956	0.151421	0.00455829
83	2.95442	0.554924	1.93986	0.0977446	0.198517	1.36928	0.151421	0.00455829
84	3.13694	0.579722	2.23924	0.105889	0.177844	1.01971	0.151421	0.00455829
85	3.13694	0.579722	2.19594	0.109632	0.168492	1.09141	0.183366	0.00403555
86	3.85502	0.472966	2.19594	0.109632	0.168492	1.09141	0.183366	0.00403555
87	3.85502	0.472966	2.19594	0.109632	0.145639	1.33156	0.141173	0.00304411
88	3.84022	0.437182	2.19594	0.109632	0.149833	1.12397	0.140065	0.00272065
89	3.33127	0.470452	2.07223	0.0936135	0.111397	1.30093	0.140065	0.00272065
90	3.33127	0.470452	2.18654	0.0783844	0.111397	1.30093	0.140065	0.00272065
91	3.94771	0.566258	2.32662	0.083528	0.0856898	1.16467	0.140065	0.00272065
92	3.94771	0.566258	2.59761	0.075565	0.0852881	0.951132	0.155005	0.00208163
93	3.65891	0.588075	2.76296	0.0778465	0.0803699	0.820519	0.159337	0.00199993
94	3.98483	0.642953	2.55839	0.0759748	0.0587096	0.776717	0.186247	0.00140999
95	3.75216	0.577896	2.53558	0.0718542	0.062776	0.839208	0.186247	0.00140999
96	3.75216	0.577896	2.3973	0.0795596	0.0542218	0.656799	0.186247	0.00140999
97	3.89417	0.587251	2.3973	0.0795596	0.0542218	0.656799	0.19398	0.00126687
98	3.89417	0.587251	2.4242	0.0990856	0.0542218	0.656799	0.19398	0.00126687
99	3.89417	0.587251	2.4777	0.0881023	0.0552651	0.740667	0.19398	0.00126687
