No.	ID	loglik_NUll	loglik_RES	loglik_all	log_ratio	loglik_Max1	loglik_Max2	loglik_Max3
0	0	-1116.6373	-1053.7972	-1059.4808	62.840097	-1097.8902	-1046.8505	-1046.8509
1	1	-1597.8989	-1536.2795	-1540.6864	61.61949	-1578.9576	-1525.1355	-1529.766
2	2	-1848.8117	-1831.5516	-1837.5946	17.260088	-1845.5866	-1824.666	-1825.4785
3	3	-1429.2238	-1372.8045	-1378.5089	56.419302	-1410.3011	-1366.2011	-1366.2015
4	4	-963.48297	-889.19995	-894.89062	74.283022	-943.9644	-882.09955	-882.09842
5	5	-1408.8371	-1390.4688	-1396.2666	18.36831	-1391.1855	-1383.8713	-1383.871
6	6	-1289.9465	-1257.776	-1263.4346	32.170523	-1286.4245	-1250.8156	-1250.7887
7	7	-1028.0535	-987.57042	-993.45789	40.483035	-1024.3445	-979.71562	-979.64807
8	8	-928.09256	-908.68959	-913.50374	19.402969	-924.29263	-897.22561	-901.40305
9	9	-1430.4245	-1410.2552	-1416.2842	20.169306	-1426.953	-1403.2923	-1403.5496
10	10	-1308.5808	-1285.308	-1291.2301	23.272802	-1305.0523	-1277.539	-1277.4108
11	11	-1555.5621	-1530.0939	-1535.8743	25.468212	-1552.1588	-1523.0936	-1523.0553
12	12	-1517.1279	-1472.3972	-1478.1131	44.730712	-1498.7559	-1465.8767	-1465.8771
13	13	-1377.593	-1334.4945	-1340.1658	43.098517	-1362.6795	-1327.7757	-1327.7724
14	14	-1197.9967	-1121.917	-1127.6116	76.079721	-1177.2641	-1115.0963	-1115.0959
15	15	-1247.7133	-1181.2729	-1187.1684	66.440342	-1225.7921	-1174.219	-1174.2108
16	16	-1336.3466	-1278.364	-1284.0552	57.982585	-1323.9049	-1271.0157	-1271.6196
17	17	-1469.1574	-1407.2724	-1412.9589	61.884995	-1449.6492	-1400.7384	-1400.738
18	18	-1142.5997	-1101.4829	-1106.8521	41.1168	-1138.9526	-1090.1209	-1094.507
19	19	-1542.1068	-1495.6668	-1501.3849	46.439951	-1523.512	-1489.1292	-1489.1295
20	20	-1157.3953	-1105.8546	-1111.7934	51.540713	-1142.6697	-1098.6544	-1098.6549
21	21	-1730.4361	-1668.6936	-1674.3761	61.74258	-1711.6279	-1662.2584	-1662.2592
22	22	-1472.2756	-1390.1513	-1396.1003	82.124324	-1453.4263	-1383.1513	-1383.0399
23	23	-1477.8624	-1444.0085	-1449.6437	33.853935	-1474.3914	-1437.3106	-1437.3103
24	24	-1310.1743	-1257.4614	-1263.1572	52.712907	-1291.2904	-1250.7916	-1250.7937
25	25	-922.11299	-851.32611	-857.00661	70.786885	-902.6341	-844.11634	-844.11659
26	26	-1569.2341	-1560.3079	-1566.1719	8.9261722	-1565.8476	-1551.5671	-1552.8366
27	27	-697.8584	-614.78751	-620.68016	83.07089	-677.9447	-606.7302	-606.73325
28	28	-1153.4461	-1073.9475	-1079.6336	79.498668	-1134.3049	-1067.0345	-1067.0349
29	29	-921.76218	-906.56201	-912.05315	15.200176	-917.91513	-896.62513	-899.21572
30	30	-1697.2108	-1670.8284	-1676.3977	26.382454	-1677.4869	-1662.0758	-1664.3563
31	31	-1315.8297	-1266.8749	-1272.571	48.954835	-1296.9192	-1260.1881	-1260.1852
32	32	-1517.233	-1483.1617	-1489.0326	34.071326	-1499.3125	-1475.9727	-1475.9862
33	33	-1440.9638	-1422.2007	-1427.4815	18.763158	-1437.5099	-1411.0794	-1411.9051
34	34	-1434.3239	-1384.48	-1390.3906	49.843865	-1415.8544	-1377.6121	-1377.6129
35	35	-1461.7404	-1447.7683	-1455.4946	13.972119	-1458.3136	-1441.121	-1441.7221
36	36	-1419.9152	-1379.7479	-1388.4528	40.167352	-1399.3566	-1372.38	-1372.741
37	37	-1153.1495	-1107.2498	-1113.0092	45.899619	-1134.2333	-1097.9176	-1099.3106
38	38	-1504.9057	-1463.0882	-1468.9453	41.817473	-1489.2469	-1456.2132	-1456.2185
39	39	-1200.7502	-1144.8281	-1150.7455	55.922124	-1182.0383	-1136.9088	-1136.8672
40	40	-1360.1957	-1329.3294	-1335.2278	30.866301	-1345.7533	-1321.7618	-1321.7266
41	41	-1368.5818	-1321.4596	-1326.6019	47.122195	-1354.3892	-1310.1377	-1313.7652
42	42	-1583.5202	-1549.4165	-1555.3948	34.103678	-1564.7028	-1542.0328	-1541.9605
43	43	-1177.9242	-1125.0791	-1130.9867	52.845113	-1159.022	-1117.9116	-1117.9118
44	44	-1505.4431	-1454.761	-1460.4694	50.682189	-1486.1075	-1448.2416	-1448.2419
45	45	-1417.2493	-1382.7256	-1388.4098	34.523677	-1398.1362	-1376.0668	-1376.0669
46	46	-1502.6295	-1457.9005	-1463.7812	44.729057	-1483.9411	-1451.2613	-1451.2583
47	47	-1498.8554	-1440.8138	-1446.9014	58.041569	-1480.1813	-1432.9315	-1432.9199
48	48	-1204.5137	-1171.6906	-1177.7294	32.823127	-1200.9171	-1164.8537	-1164.8481
49	49	-1174.1766	-1129.4828	-1135.1414	44.693832	-1170.5424	-1119.2398	-1121.6055
50	50	-1604.5096	-1576.3534	-1582.1123	28.15613	-1585.4053	-1566.7619	-1569.4567
51	51	-1199.789	-1158.4791	-1164.3576	41.309907	-1180.7263	-1150.6182	-1151.3601
52	52	-1166.4033	-1098.7204	-1104.6579	67.682974	-1147.6037	-1091.5357	-1091.522
53	53	-1106.3236	-1034.18	-1040.0984	72.143667	-1087.2142	-1025.9065	-1025.8785
54	54	-1382.8821	-1303.9026	-1309.7446	78.979519	-1363.8218	-1297.3205	-1297.314
55	55	-1343.7605	-1311.6846	-1317.587	32.075881	-1340.2727	-1304.832	-1304.8314
56	56	-1499.0641	-1446.9059	-1452.5166	52.158196	-1480.2621	-1439.9606	-1439.9798
57	57	-1239.2556	-1174.6587	-1180.5966	64.596887	-1218.7501	-1165.2232	-1166.5278
58	58	-1095.5946	-1052.2911	-1058.1952	43.303484	-1091.9384	-1043.3196	-1044.492
59	59	-922.54065	-897.81359	-903.71461	24.727053	-918.70682	-890.41853	-890.40052
60	60	-1946.7911	-1919.1639	-1924.7177	27.627175	-1927.0336	-1908.3403	-1912.0456
61	61	-875.67881	-853.75031	-859.46924	21.928497	-871.80838	-845.1772	-845.1569
62	62	-1143.6919	-1087.3691	-1093.0592	56.32279	-1124.671	-1080.4547	-1080.4547
63	63	-1085.713	-1059.8451	-1066.5714	25.867885	-1082.0074	-1053.3014	-1052.7875
64	64	-1865.0419	-1850.13	-1855.8527	14.911841	-1861.8111	-1842.8528	-1843.6965
65	65	-1320.168	-1308.5755	-1314.4508	11.5925	-1316.6463	-1301.2359	-1301.1566
66	66	-1343.9518	-1275.7229	-1281.7536	68.228888	-1330.1964	-1268.9318	-1269.3721
67	67	-1341.5808	-1294.826	-1300.7122	46.754814	-1322.4601	-1287.8316	-1287.8203
68	68	-1329.85	-1275.6021	-1281.5344	54.247909	-1309.8486	-1267.7587	-1267.7403
69	69	-1633.4658	-1585.6942	-1591.6209	47.771564	-1614.7181	-1578.9488	-1578.9416
70	70	-1484.1546	-1456.7182	-1462.6058	27.436355	-1480.6803	-1448.5856	-1449.3135
71	71	-1122.7458	-1075.8443	-1081.7496	46.901448	-1119.0901	-1068.073	-1067.8747
72	72	-1184.5815	-1148.7743	-1154.5004	35.807151	-1165.3604	-1138.9304	-1140.9936
73	73	-1143.4562	-1129.8961	-1136.9405	13.560082	-1139.838	-1120.7575	-1122.8691
74	74	-1155.7403	-1097.3966	-1103.2683	58.343695	-1136.9229	-1089.4881	-1089.4183
75	75	-1228.7252	-1168.778	-1174.7131	59.947205	-1225.1476	-1160.7709	-1161.6432
76	76	-1339.9616	-1291.9706	-1297.6484	47.990971	-1323.353	-1285.2529	-1285.252
77	77	-1221.0349	-1132.6865	-1138.6133	88.348443	-1201.9689	-1125.506	-1125.4797
78	78	-1214.2059	-1177.7131	-1183.4185	36.492791	-1210.6191	-1170.819	-1170.8182
79	79	-954.43271	-886.86783	-892.69436	67.56488	-950.61094	-879.04364	-879.7625
80	80	-1542.6759	-1540.6606	-1545.0786	2.0153683	-1539.2701	-1528.9367	-1528.9234
81	81	-1036.546	-990.82683	-996.7306	45.7192	-1032.8309	-983.55328	-983.53514
82	82	-1296.1967	-1258.8784	-1264.5716	37.318343	-1277.1084	-1250.8168	-1252.1072
83	83	-1832.9945	-1801.9977	-1807.6195	30.996845	-1812.7287	-1795.0026	-1795.0054
84	84	-1572.8916	-1534.9389	-1540.8339	37.95273	-1555.9699	-1528.0052	-1528.1015
85	85	-1353.6932	-1316.7369	-1322.6143	36.956317	-1350.1589	-1309.6542	-1309.808
86	86	-1003.3772	-968.69914	-974.57198	34.678072	-999.63463	-961.38361	-961.38051
87	87	-1481.8012	-1462.7497	-1468.6602	19.05154	-1472.4273	-1455.9108	-1455.9091
88	88	-1108.653	-1064.1534	-1068.8826	44.49962	-1104.9815	-1052.6087	-1056.8941
89	89	-936.24166	-874.15429	-879.83536	62.087369	-932.41288	-866.54221	-866.94904
90	90	-1162.6131	-1149.0115	-1154.8767	13.601581	-1159.024	-1138.7609	-1139.9874
91	91	-1461.6595	-1409.0914	-1414.7774	52.568113	-1443.9678	-1402.5151	-1402.5147
92	92	-1133.1367	-1093.4055	-1099.3056	39.731254	-1129.5077	-1085.5729	-1085.5588
93	93	-1710.3948	-1686.5995	-1692.3059	23.795299	-1694.9732	-1680.0745	-1680.0735
94	94	-927.24655	-848.96522	-854.89133	78.281334	-907.89661	-841.47249	-841.46703
95	95	-1888.482	-1850.1751	-1856.1029	38.30688	-1865.2865	-1842.8129	-1842.7587
96	96	-1167.9768	-1144.5253	-1150.2115	23.451504	-1164.3476	-1135.8993	-1137.5448
97	97	-942.1731	-912.60723	-918.418	29.565874	-938.36919	-904.56291	-904.62129
98	98	-1056.5085	-1006.484	-1012.3862	50.024506	-1052.8406	-998.58845	-998.53746
99	99	-1315.8811	-1275.769	-1281.4507	40.112128	-1297.0866	-1268.9856	-1268.9871
100	100	-1173.7224	-1135.614	-1141.4709	38.108397	-1170.1108	-1127.8601	-1127.8218
101	101	-1302.7877	-1276.6922	-1282.582	26.095493	-1299.2068	-1268.2912	-1268.7119
102	102	-1133.2176	-1083.7103	-1089.3863	49.507338	-1129.5685	-1076.7293	-1076.7282
103	103	-1373.9532	-1323.7326	-1329.4616	50.220623	-1355.2526	-1317.115	-1317.1142
104	104	-1425.331	-1413.1912	-1418.5866	12.139833	-1421.8473	-1400.4983	-1405.3473
105	105	-1481.1401	-1483.4121	-1485.3831	-2.272014	-1477.7332	-1473.9428	-1473.9337
106	106	-1305.8094	-1261.2954	-1267.3664	44.513995	-1285.7298	-1254.8533	-1254.9051
107	107	-1596.3359	-1588.7931	-1594.4788	7.5428796	-1592.9505	-1581.6118	-1582.0645
108	108	-1135.0378	-1061.0215	-1066.9593	74.016261	-1116.186	-1053.7445	-1053.7321
109	109	-1003.2405	-954.86743	-960.74918	48.373098	-999.50871	-947.56833	-947.55738
110	110	-1327.1846	-1297.2771	-1303.1909	29.90748	-1323.6572	-1289.6742	-1289.6648
111	111	-1545.882	-1525.2868	-1530.9504	20.595267	-1542.504	-1518.1681	-1518.6424
112	112	-1508.1796	-1430.6724	-1436.5874	77.507125	-1489.5729	-1423.8707	-1423.8465
113	113	-1407.4352	-1360.8575	-1366.7595	46.577686	-1388.5914	-1353.9191	-1353.9162
114	114	-1497.2658	-1453.5289	-1459.191	43.736829	-1478.6092	-1445.4864	-1446.92
115	115	-1038.7406	-1003.1878	-1009.0821	35.552814	-1034.9977	-995.84614	-995.83425
116	116	-1403.2905	-1384.6264	-1390.3503	18.664077	-1399.7835	-1377.8507	-1377.8508
117	117	-1827.5835	-1787.213	-1792.9058	40.370481	-1814.2808	-1780.5701	-1780.7803
118	118	-1284.959	-1248.9843	-1254.6615	35.974745	-1281.4098	-1242.154	-1242.1546
119	119	-1401.4809	-1377.1431	-1383.0793	24.337795	-1397.9844	-1369.7656	-1369.6552
120	120	-914.1619	-843.32409	-848.98826	70.837812	-894.91636	-836.0931	-836.09168
121	121	-1344.305	-1339.6301	-1345.2574	4.6748809	-1340.806	-1326.7207	-1331.886
122	122	-1615.9775	-1527.3775	-1533.073	88.599983	-1596.5644	-1521.0375	-1521.0386
123	123	-2146.4604	-2120.137	-2126.0363	26.323363	-2126.6901	-2113.2567	-2113.7863
124	124	-2150.0854	-2124.5887	-2130.4988	25.496679	-2130.9741	-2118.1512	-2118.1262
125	125	-1362.6097	-1353.6055	-1359.805	9.00412	-1359.113	-1346.5347	-1347.2886
126	126	-1099.3288	-1056.2202	-1062.1175	43.108612	-1081.1852	-1048.3629	-1048.3357
127	127	-1621.1533	-1582.3824	-1587.9915	38.770952	-1602.8357	-1574.0907	-1575.9096
128	128	-1390.7593	-1342.639	-1348.5665	48.120291	-1372.11	-1335.7166	-1335.7133
129	129	-1193.0113	-1142.7242	-1148.6544	50.287102	-1173.4759	-1135.6628	-1135.6531
130	130	-1545.5072	-1496.0476	-1501.9459	49.459602	-1526.6247	-1489.2312	-1489.223
131	131	-1459.2852	-1378.8198	-1384.8041	80.465372	-1441.5691	-1371.8542	-1371.8513
132	132	-895.15734	-850.26536	-856.15906	44.891974	-891.26411	-842.78546	-842.76118
133	133	-1621.5559	-1586.9651	-1592.4615	34.590851	-1602.2549	-1578.1543	-1580.4924
134	134	-1229.633	-1170.7624	-1176.4884	58.870646	-1219.9885	-1163.9554	-1163.9549
135	135	-920.07164	-853.39765	-858.58852	66.673989	-900.01559	-843.11638	-846.11128
136	136	-1259.3634	-1190.1388	-1196.089	69.22465	-1240.5996	-1183.0466	-1183.0423
137	137	-1186.2483	-1144.5388	-1150.7162	41.709408	-1182.6576	-1137.9977	-1138.1192
138	138	-1601.8587	-1574.8313	-1580.4913	27.027456	-1587.4811	-1567.5479	-1568.2393
139	139	-1010.3028	-959.03146	-964.92363	51.271315	-1006.5573	-951.29209	-951.11365
140	140	-969.73254	-950.25164	-956.1193	19.480895	-965.95864	-942.95032	-942.9272
141	141	-1168.0565	-1086.6077	-1092.564	81.448783	-1149.0399	-1079.4014	-1079.4052
142	142	-1054.7862	-1001.4033	-1007.0667	53.382881	-1051.0707	-994.28648	-994.28751
143	143	-1254.5912	-1211.3026	-1216.997	43.288559	-1236.4082	-1203.1004	-1204.509
144	144	-1423.0472	-1392.5858	-1398.7336	30.461417	-1419.5528	-1383.2368	-1383.9291
145	145	-1111.7373	-1075.5064	-1081.3736	36.230932	-1108.0802	-1068.326	-1068.3067
146	146	-1358.4132	-1304.8111	-1310.5039	53.602118	-1341.2177	-1298.0958	-1298.0953
147	147	-904.69303	-832.85521	-838.53183	71.837818	-885.33566	-825.53687	-825.53653
148	148	-1191.9094	-1126.4822	-1132.1623	65.427253	-1172.8727	-1119.6221	-1119.6221
149	149	-1188.9492	-1127.5496	-1133.4191	61.399582	-1170.0205	-1120.7947	-1120.7892
150	150	-1302.0211	-1230.1833	-1235.8938	71.837823	-1283.3909	-1223.5759	-1223.5734
151	151	-1231.907	-1196.166	-1202.0658	35.741019	-1228.3205	-1188.6956	-1189.1388
152	152	-1320.792	-1253.6891	-1259.4862	67.102911	-1302.2559	-1247.1289	-1247.1289
153	153	-1426.7641	-1396.052	-1401.628	30.712104	-1423.2782	-1386.9574	-1389.4413
154	154	-1296.1621	-1242.6694	-1248.37	53.492713	-1276.9461	-1235.9208	-1235.9224
155	155	-1574.8276	-1537.7572	-1543.3717	37.070402	-1558.6556	-1531.1969	-1531.197
156	156	-1440.1036	-1415.2272	-1421.0976	24.876344	-1436.6433	-1407.7972	-1408.5754
157	157	-1219.4335	-1148.0933	-1154.0589	71.340233	-1200.4388	-1140.7987	-1140.6959
158	158	-1501.5048	-1490.0305	-1496.3627	11.474313	-1498.0934	-1474.9341	-1480.3269
159	159	-1934.4558	-1901.8482	-1907.75	32.607622	-1916.9936	-1894.7913	-1894.7173
160	160	-1293.5575	-1240.3477	-1246.0392	53.209724	-1275.6171	-1233.5723	-1233.5722
161	161	-1283.0643	-1211.2422	-1217.1251	71.822142	-1264.4044	-1204.4098	-1204.4069
162	162	-1337.2249	-1297.8083	-1303.7264	39.416597	-1333.717	-1290.8265	-1290.8266
163	163	-1254.7382	-1176.1759	-1181.8445	78.562387	-1235.9484	-1169.3751	-1169.3754
164	164	-964.20122	-892.97445	-898.66473	71.226767	-960.37958	-885.76508	-885.76462
165	165	-1559.6184	-1526.8857	-1532.8712	32.732678	-1542.3623	-1520.6705	-1520.6704
166	166	-1139.0199	-1032.6658	-1038.3745	106.35408	-1119.7106	-1025.806	-1025.8061
167	167	-1024.7596	-955.62455	-961.71811	69.135058	-1004.9761	-947.84731	-947.66751
168	168	-928.81261	-877.68379	-883.54713	51.12882	-925.00073	-870.23194	-870.21818
169	169	-1309.6225	-1285.8166	-1291.5163	23.805902	-1306.0624	-1278.7141	-1279.0392
170	170	-1303.372	-1257.3965	-1263.054	45.975505	-1284.4498	-1250.6049	-1250.6055
171	171	-1525.7953	-1512.0034	-1516.4956	13.791862	-1522.3704	-1497.3945	-1502.8545
172	172	-1404.2365	-1394.402	-1400.2528	9.8345377	-1400.706	-1381.1802	-1387.7505
173	173	-1562.482	-1520.8973	-1526.5769	41.584751	-1543.9078	-1514.3333	-1514.3332
174	174	-1237.3529	-1191.9127	-1197.7492	45.440241	-1233.747	-1185.0875	-1185.0787
175	175	-1377.9029	-1344.9108	-1350.6016	32.992111	-1374.3839	-1335.3661	-1338.0948
176	176	-1225.8019	-1207.9493	-1213.6451	17.85257	-1222.2522	-1199.5556	-1201.0262
177	177	-1272.8276	-1201.7217	-1207.6373	71.105925	-1257.2954	-1194.6017	-1194.5948
178	178	-1277.961	-1224.2136	-1229.9129	53.747388	-1259.5049	-1217.4815	-1217.4816
179	179	-997.4995	-924.73078	-930.41731	72.768726	-978.35618	-914.83137	-917.32969
180	180	-1469.4574	-1411.9877	-1417.912	57.469681	-1450.8803	-1405.1051	-1405.0928
181	181	-1342.9923	-1308.0366	-1311.1847	34.955695	-1339.4889	-1295.249	-1301.2861
182	182	-1345.7224	-1290.848	-1294.5021	54.874376	-1326.8114	-1278.571	-1284.139
183	183	-1409.1941	-1367.4327	-1373.3699	41.761423	-1390.9107	-1360.5432	-1360.5364
184	184	-1695.3203	-1661.3678	-1667.2711	33.952459	-1677.4069	-1655.0878	-1655.0866
185	185	-916.8085	-845.81868	-851.74458	70.989826	-897.27772	-837.37818	-837.37918
186	186	-1380.0822	-1323.8839	-1329.792	56.198329	-1362.9522	-1315.9113	-1316.0283
187	187	-1035.2628	-996.58504	-1002.4532	38.677756	-1031.545	-988.66504	-988.64493
188	188	-1394.3547	-1348.6566	-1354.3501	45.698141	-1375.63	-1342.0087	-1342.0085
189	189	-1244.4335	-1181.1361	-1186.8267	63.29733	-1224.947	-1174.3496	-1174.3489
190	190	-1585.4574	-1554.4087	-1560.2057	31.048716	-1567.3541	-1546.9956	-1546.7234
191	191	-1923.9057	-1915.8261	-1921.8702	8.0795876	-1920.6936	-1906.2505	-1909.0755
192	192	-1092.7395	-1015.8081	-1021.5124	76.931398	-1073.3595	-1008.8414	-1008.8425
193	193	-1261.9618	-1219.9058	-1225.7889	42.056023	-1258.434	-1212.9363	-1212.93
194	194	-1361.9741	-1311.9868	-1317.92	49.987263	-1344.0177	-1304.587	-1304.4812
195	195	-1388.3003	-1365.4911	-1371.1454	22.809192	-1384.7905	-1355.5587	-1357.9798
196	196	-1786.7236	-1773.344	-1779.1962	13.379602	-1783.5022	-1767.0546	-1767.056
197	197	-1322.8248	-1246.3099	-1251.9995	76.514845	-1302.4162	-1239.6105	-1239.6112
198	198	-1689.2816	-1653.8066	-1659.5225	35.475029	-1671.736	-1647.4156	-1647.4152
199	199	-1601.8331	-1568.2949	-1574.0439	33.538192	-1598.4159	-1561.7221	-1561.7219
200	200	-1206.545	-1142.9956	-1148.896	63.549425	-1187.1132	-1135.8442	-1135.7581
201	201	-1037.2686	-974.03993	-979.83151	63.228691	-1033.5393	-965.06971	-966.72739
202	202	-1593.1081	-1561.0736	-1567.1341	32.03449	-1573.6245	-1553.7138	-1553.7069
203	203	-1084.5854	-1049.2498	-1055.1387	35.335675	-1080.9273	-1041.4212	-1041.3951
204	204	-1161.3513	-1127.2446	-1133.1096	34.106714	-1157.7529	-1120.179	-1120.1744
205	205	-1338.3515	-1313.7368	-1319.6185	24.614715	-1334.8276	-1306.8919	-1306.8673
206	206	-1042.5264	-949.65365	-955.36061	92.872754	-1023.2848	-942.6199	-942.62126
207	207	-1085.1838	-1030.1708	-1036.0779	55.01298	-1066.0501	-1021.0557	-1022.1094
208	208	-1053.6833	-980.45339	-986.08998	73.229869	-1034.5969	-973.29666	-973.29654
209	209	-1525.9581	-1476.7011	-1482.3891	49.257042	-1507.63	-1470.1597	-1470.1595
210	210	-1364.5046	-1320.454	-1326.3985	44.050684	-1345.9895	-1313.512	-1313.487
211	211	-1955.4402	-1923.3726	-1929.1426	32.06761	-1937.3592	-1916.0994	-1916.0997
212	212	-1029.9327	-960.5292	-966.16967	69.4035	-1010.0966	-953.37505	-953.37457
213	213	-1316.1548	-1285.3426	-1290.8149	30.812172	-1306.7774	-1273.8386	-1278.5882
214	214	-1565.0084	-1520.7689	-1526.1294	44.23957	-1557.4737	-1509.0126	-1514.1668
215	215	-1345.129	-1322.752	-1328.4189	22.376977	-1341.5665	-1314.7323	-1315.1061
216	216	-1269.7226	-1226.9095	-1232.5236	42.813146	-1257.9467	-1217.2348	-1219.8942
217	217	-1596.2901	-1558.9927	-1564.6995	37.297329	-1577.8019	-1552.4535	-1552.4542
218	218	-1598.1789	-1554.2759	-1560.1541	43.903036	-1578.9947	-1547.0331	-1546.9889
219	219	-2074.2643	-2051.0345	-2056.5239	23.229832	-2061.7078	-2042.5161	-2044.7302
220	220	-1042.0539	-994.55214	-1000.4348	47.501754	-1022.7222	-986.62773	-986.42897
221	221	-1169.7356	-1147.3934	-1152.2626	22.342116	-1166.1291	-1136.7434	-1140.4155
222	222	-895.86678	-874.58933	-880.18642	21.27745	-892.01038	-864.0124	-867.17216
223	223	-1187.9976	-1123.7928	-1129.8295	64.204811	-1166.8999	-1115.8053	-1115.7894
224	224	-1640.2818	-1626.3392	-1632.0183	13.942545	-1636.9646	-1619.7232	-1619.7245
225	225	-1375.5427	-1356.7227	-1362.5618	18.820044	-1372.0441	-1349.8071	-1349.8127
226	226	-846.82285	-795.26669	-801.14432	51.556165	-842.87077	-787.49019	-787.0249
227	227	-1062.5678	-1047.4948	-1053.6267	15.072972	-1058.8516	-1040.5651	-1040.7822
228	228	-1186.5315	-1145.8335	-1151.7398	40.697955	-1182.9133	-1138.7548	-1138.7477
229	229	-1604.7155	-1565.6168	-1571.3964	39.098644	-1601.3363	-1556.9693	-1558.8361
230	230	-1360.5669	-1334.8426	-1340.7567	25.724285	-1348.1719	-1328.3194	-1328.319
231	231	-1574.2874	-1537.1453	-1542.9518	37.142076	-1557.1957	-1530.6861	-1530.6862
232	232	-1621.0807	-1592.3473	-1598.2274	28.733439	-1602.5917	-1585.5897	-1585.5747
233	233	-1103.897	-1028.5744	-1034.3081	75.322681	-1084.6631	-1021.6437	-1021.646
234	234	-1203.4669	-1150.5848	-1156.4466	52.882094	-1183.7163	-1142.6746	-1143.4992
235	235	-963.96078	-897.46268	-903.17203	66.498103	-944.72525	-890.31435	-890.3156
236	236	-1175.7712	-1119.1016	-1124.9935	56.669556	-1172.1816	-1111.9813	-1111.9794
237	237	-1243.7354	-1190.5566	-1196.2406	53.178859	-1224.8923	-1183.758	-1183.7593
238	238	-1391.0792	-1354.81	-1360.6721	36.269151	-1387.5726	-1347.9423	-1347.9212
239	239	-1436.5772	-1387.6702	-1393.3607	48.907054	-1418.0761	-1380.9955	-1380.9954
240	240	-1684.9562	-1675.0444	-1680.7015	9.9117594	-1681.6241	-1665.8506	-1665.8418
241	241	-1269.4276	-1204.7921	-1210.6532	64.635524	-1250.56	-1197.9078	-1197.8955
242	242	-1498.98	-1471.3906	-1477.0423	27.589418	-1495.5599	-1463.1589	-1463.2708
243	243	-1289.827	-1269.4172	-1275.3262	20.40983	-1286.3039	-1262.1272	-1261.9007
244	244	-1312.3783	-1280.4377	-1286.3121	31.940553	-1308.8438	-1273.47	-1273.4632
245	245	-2017.8661	-2007.6812	-2013.5511	10.184879	-2010.1775	-2001.1891	-2001.1888
246	246	-1055.471	-964.74428	-970.4085	90.726689	-1036.2137	-957.68269	-957.68297
247	247	-1364.6368	-1329.1419	-1335.0194	35.494853	-1361.1141	-1322.1029	-1321.6457
248	248	-1334.8525	-1297.0849	-1302.7676	37.767587	-1316.622	-1290.4088	-1290.4104
249	249	-1425.8631	-1413.1861	-1419.0451	12.677031	-1422.3819	-1405.0651	-1406.2777
250	250	-1255.7434	-1230.0367	-1235.9389	25.706647	-1252.2229	-1223.0508	-1223.049
251	251	-1296.6779	-1252.9389	-1258.7986	43.739032	-1276.9195	-1245.3746	-1245.4811
252	252	-844.66525	-777.89174	-783.55074	66.773515	-840.6747	-770.14449	-770.43317
253	253	-702.66295	-651.49778	-657.37969	51.165171	-698.60977	-643.26153	-643.00685
254	254	-1128.5428	-1070.4881	-1076.1976	58.054738	-1109.3094	-1063.5086	-1063.5085
255	255	-963.17024	-892.73098	-898.42191	70.439262	-943.2367	-885.62211	-885.62145
256	256	-1489.1097	-1444.293	-1450.1765	44.816769	-1476.2616	-1437.4022	-1437.4033
257	257	-1310.3978	-1279.6288	-1285.4961	30.769007	-1306.8315	-1272.6453	-1272.6423
258	258	-1349.0092	-1296.7686	-1302.4717	52.240584	-1330.2623	-1290.1361	-1290.1329
259	259	-1296.2129	-1264.5626	-1270.2806	31.650268	-1292.7	-1257.8122	-1257.8108
260	260	-1199.3131	-1154.4985	-1160.3914	44.814521	-1195.7063	-1147.3522	-1147.354
261	261	-1520.059	-1489.6821	-1495.5891	30.376873	-1516.6325	-1482.8184	-1482.8172
262	262	-1127.7223	-1091.0656	-1096.7656	36.656665	-1124.0581	-1082.5811	-1082.5858
263	263	-1122.5935	-1028.2493	-1034.3577	94.344132	-1103.3588	-1020.0676	-1019.9635
264	264	-1396.0448	-1370.734	-1376.5579	25.31078	-1392.5448	-1363.3738	-1363.7853
