No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
292	292	-1587.2672	-1542.4711	-1552.7194	44.796101	10.2483	-1568.8324	-1536.6125	-1536.617
293	293	-1371.2491	-1293.3477	-1306.4314	77.901343	13.0836999999999	-1352.9348	-1287.3922	-1287.3917
294	294	-1418.0048	-1395.3023	-1407.9809	22.702538	12.6786	-1414.584	-1384.4893	-1386.8576
295	295	-1142.2228	-1072.9012	-1085.4087	69.321609	12.5074999999999	-1123.4843	-1064.2811	-1066.7302
296	296	-1171.9163	-1111.2757	-1124.3666	60.640549	13.0909000000001	-1153.4167	-1105.0356	-1105.0351
297	297	-1056.2617	-1031.7626	-1043.3626	24.499102	11.5999999999999	-1052.5655	-1023.7107	-1025.1956
298	298	-1138.9513	-1098.468	-1111.541	40.483289	13.0729999999999	-1120.3227	-1092.2543	-1092.2537
299	299	-1220.6394	-1145.7928	-1159.1025	74.846593	13.3097	-1202.1897	-1139.453	-1139.4587
300	300	-1159.8193	-1073.4917	-1086.5928	86.327668	13.1010999999999	-1140.824	-1067.3352	-1067.3352
301	301	-1974.6801	-1962.462	-1974.1756	12.218054	11.7136	-1971.5132	-1949.8186	-1956.4409
302	302	-1311.8623	-1252.8585	-1265.9431	59.003785	13.0845999999999	-1293.1535	-1245.4092	-1246.5988
303	303	-1417.7632	-1359.9307	-1373.0396	57.832527	13.1089000000002	-1398.9652	-1354.0814	-1354.0818
304	304	-1649.4434	-1612.5715	-1625.691	36.871833	13.1195	-1631.5109	-1606.9198	-1606.9194
305	305	-990.91362	-894.02231	-907.32392	96.891314	13.3016100000001	-971.59637	-887.01813	-887.01396
306	306	-1829.3387	-1737.9239	-1751.0024	91.414808	13.0785000000001	-1811.3384	-1732.5229	-1732.523
307	307	-1268.2483	-1204.0969	-1217.3258	64.151439	13.2289000000001	-1249.9112	-1197.7718	-1197.7803
308	308	-1159.1915	-1114.9147	-1128.1418	44.276772	13.2271000000001	-1140.4547	-1108.5299	-1108.5286
309	309	-2030.246	-1989.4265	-2002.4692	40.819507	13.0427	-2012.5175	-1982.0935	-1982.7995
310	310	-1514.9475	-1474.6003	-1487.844	40.347196	13.2437	-1496.0896	-1468.6163	-1468.6202
311	311	-1297.9569	-1249.709	-1262.9477	48.247882	13.2386999999999	-1279.8023	-1242.8819	-1242.8523
