V1	V2	V3	V4	V5	V6	V7	V8	V9
366	0.433	0.263	0.2	0.237	0.455	0.035	0.004	0.164	0.46
367	0.998	0.264	0.16	0.279	0.923	0.003	0.075	0.009	0.967
368	0.391	0.369	0.318	0.446	0.608	0.034	0.01	0.28	0.884
369	0.336	0.614	0.308	0.422	0.687	0.208	0.002	0.041	0.801
370	0.351	0.788	0.62	0.967	0.586	0.061	0.039	0.044	0.69
371	0.762	0.633	0.277	0.987	0.546	0.183	0.028	0.085	0.684
372	0.288	0.287	0.583	0.362	0.496	0.037	0.009	0.092	0.445
373	0.701	0.159	0.087	0.821	0.432	0.085	0.035	0.092	0.385
374	0.328	0.65	0.416	0.759	0.27	0.107	0.007	0.257	0.731
375	0.483	0.265	0.506	0.375	0.38	0.023	0.076	0.319	0.295
376	0.698	0.266	0.674	0.275	0.325	0.074	0.449	0.007	0.483
377	0.413	0.909	0.222	0.302	0.529	0.057	0.003	0.004	0.636
378	0.934	0.084	0.653	0.193	0.271	0.266	0.021	0.022	0.796
379	0.463	0.703	0.406	0.313	0.331	0.175	0.075	0.004	0.672
380	0.404	0.261	0.132	0.343	0.184	0.139	0.035	0.226	0.457
381	0.497	0.735	0.718	0.242	0.868	0.007	0.075	0.063	0.525
382	0.282	0.449	0.304	0.134	0.929	0.11	0.016	0.135	0.547
383	0.117	0.325	0.43	0.281	0.389	0.265	0.003	0.411	0.782
384	0.275	0.319	0.974	0.233	0.556	0.116	0.035	0.48	0.565
385	0.719	0.151	0.132	0.6	0.675	0.012	0.103	0.035	0.365
386	0.542	0.818	0.485	0.648	0.528	0.273	0.003	0.618	0.499
387	0.776	0.141	0.23	0.845	0.569	0.12	0.005	0.057	0.702
388	0.547	0.126	0.384	0.595	0.584	0.102	0.007	0.044	0.348
389	0.766	0.851	0.656	0.6	0.235	0.385	0.008	0.154	0.8
390	0.952	0.526	0.737	0.38	0.337	0.068	0.028	0.079	0.501
391	0.718	0.797	0.182	0.405	0.884	0.068	0.001	0.038	0.314
392	0.41	0.222	0.848	0.229	0.214	0.086	0.101	0.002	0.866
393	0.163	0.501	0.356	0.557	0.485	0.022	0.001	0.025	0.695
394	0.614	0.203	0.266	0.224	0.1	0.035	0.035	0.243	0.337
395	0.649	0.263	0.829	0.34	0.381	0.052	0.002	0.181	0.37
396	0.91	0.357	0.094	0.681	0.229	0.145	0.004	0.088	0.444
397	0.701	0.605	0.36	0.351	0.724	0.044	0.057	0.111	0.796
398	0.604	0.264	0.623	0.639	0.654	0.096	0.101	0.015	0.544
399	0.544	0.919	0.848	0.278	0.813	0.207	0.002	0.019	0.351
400	0.107	0.265	0.622	0.255	0.307	0.345	0.012	0.101	0.489
401	0.602	0.409	0.155	0.38	0.761	0.1	0.021	0.082	0.361
402	0.553	0.31	0.864	0.212	0.489	0.282	0.038	0.084	0.955
403	0.471	0.438	0.108	0.435	0.525	0.064	0.001	0.03	0.766
404	0.792	0.291	0.185	0.203	0.959	0.001	0.003	0.124	0.799
405	0.21	0.207	0.488	0.619	0.268	0.101	0.036	0.01	0.555
406	0.63	0.528	0.593	0.286	0.772	0.015	0.004	0.059	0.721
407	0.806	0.973	0.49	0.217	0.265	0.109	0.049	0.048	0.442
408	0.895	0.704	0.515	0.319	0.912	0.317	0.003	0.034	0.612
409	0.149	0.876	0.55	0.626	0.439	0.095	0.001	0.337	0.801
410	0.364	0.261	0.031	0.179	0.384	0.046	0.001	0.095	0.366
411	0.616	0.16	0.877	0.817	0.793	0.007	0.001	0.099	0.47
412	0.605	0.435	0.324	0.936	0.93	0.009	0.005	0.042	0.738
413	0.838	0.235	0.023	0.33	0.286	0.261	0.001	0.022	0.522
414	0.589	0.227	0.257	0.334	0.566	0.134	0.044	0.033	0.584
415	0.243	0.722	0.542	0.325	0.617	0.058	0.03	0.013	0.53
416	0.13	0.3	0.621	0.823	0.89	0.106	0.057	0.041	0.459
417	0.843	0.624	0.476	0.276	0.914	0.106	0.042	0.01	0.915
418	0.264	0.364	0.99	0.337	0.11	0.036	0.228	0.084	0.481
419	0.25	0.085	0.203	0.233	0.691	0.008	0.27	0.12	0.783
420	0.816	0.604	0.415	0.453	0.173	0.073	0.021	0.067	0.484
421	0.735	0.66	0.68	0.268	0.681	0.026	0.001	0.318	0.593
422	0.925	0.211	0.097	0.119	0.932	0.002	0.003	0.046	0.596
423	0.274	0.087	0.343	0.534	0.135	0.022	0.011	0.215	0.057
424	0.722	0.257	0.284	0.864	0.886	0.091	0.001	0.041	0.626
425	0.53	0.961	0.386	0.317	0.767	0.054	0.002	0.076	0.84
426	0.892	0.484	0.093	0.087	0.907	0.003	0.008	0.085	0.195
427	0.295	0.37	0.104	0.162	0.413	0.04	0.007	0.17	0.528
428	0.448	0.171	0.177	0.981	0.151	0.09	0.034	0.007	0.658
429	0.477	0.409	0.825	0.543	0.25	0.021	0.001	0.01	0.816
430	0.939	0.34	0.531	0.397	0.668	0.082	0.03	0.13	0.479
431	0.436	0.435	0.553	0.465	0.145	0.052	0.005	0.057	0.466
432	0.893	0.117	0.191	0.208	0.248	0.16	0.034	0.016	0.932
433	0.23	0.058	0.427	0.282	0.914	0.143	0.111	0.059	0.448
434	0.665	0.416	0.385	0.244	0.443	0.212	0.088	0.012	0.786
435	0.724	0.685	0.373	0.38	0.555	0.04	0.005	0.002	0.496
436	0.628	0.833	0.171	0.248	0.52	0.061	0.001	0.017	0.675
437	0.898	0.291	0.292	0.17	0.637	0.157	0.004	0.03	0.588
438	0.211	0.052	0.605	0.305	0.445	0.096	0.039	0.018	0.412
439	0.452	0.166	0.955	0.241	0.491	0.056	0.024	0.02	0.772
440	0.251	0.257	0.758	0.359	0.6	0.074	0.008	0.015	0.473
441	0.591	0.17	0.381	0.953	0.354	0.192	0.006	0.185	0.34
442	0.266	0.283	0.259	0.529	0.462	0.056	0.032	0.072	0.579
443	0.569	0.14	0.481	0.345	0.366	0.081	0.011	0.197	0.528
444	0.586	0.415	0.464	0.225	0.475	0.103	0.001	0.101	0.5
445	0.527	0.331	0.38	0.589	0.365	0.044	0.091	0.779	0.316
446	0.342	0.321	0.622	0.418	0.593	0.045	0.039	0.05	0.456
447	0.772	0.951	0.551	0.106	0.317	0.004	0.025	0.035	0.533
448	0.742	0.258	0.165	0.216	0.46	0.014	0.012	0.027	0.364
449	0.962	0.169	0.44	0.492	0.592	0.152	0.006	0.002	0.737
450	0.084	0.341	0.114	0.282	0.497	0.249	0.002	0.045	0.5
451	0.251	0.336	0.572	0.741	0.459	0.063	0.005	0.439	0.363
452	0.284	0.397	0.291	0.832	0.627	0.015	0.002	0.08	0.604
453	0.643	0.346	0.294	0.563	0.605	0.169	0.003	0.159	0.401
454	0.799	0.106	0.531	0.175	0.381	0.039	0.007	0.088	0.455
455	0.249	0.452	0.338	0.257	0.865	0.138	0.023	0.279	0.499
456	0.79	0.323	0.549	0.18	0.123	0.022	0.001	0.498	0.627
457	0.722	0.945	0.906	0.247	0.986	0.059	0.002	0.831	0.537
458	0.961	0.099	0.29	0.388	0.948	0.793	0.019	0.005	0.283
459	0.284	0.195	0.36	0.355	0.326	0.019	0.005	0.003	0.786
460	0.789	0.281	0.309	0.629	0.685	0.014	0.158	0.09	0.747
461	0.729	0.583	0.538	0.601	0.611	0.128	0.025	0.361	0.502
462	0.874	0.22	0.94	0.28	0.596	0.042	0.003	0.173	0.52
463	0.847	0.214	0.855	0.172	0.35	0.005	0.047	0.036	0.507
464	0.622	0.263	0.688	0.19	0.95	0.088	0.004	0.031	0.785
465	0.359	0.307	0.656	0.602	0.58	0.053	0.224	0.006	0.523
466	0.136	0.387	0.095	0.818	0.746	0.22	0.08	0.149	0.499
467	0.251	0.087	0.385	0.818	0.475	0.117	0.009	0.008	0.333
468	0.665	0.277	0.32	0.594	0.697	0.1	0.004	0.162	0.463
469	0.086	0.346	0.215	0.404	0.216	0.032	0.001	0.113	0.895
470	0.361	0.155	0.385	0.621	0.472	0.536	0.001	0.097	0.334
471	0.563	0.117	0.152	0.251	0.284	0.01	0.002	0.091	0.513
472	0.825	0.361	0.385	0.6	0.219	0.161	0.026	0.773	0.371
473	0.292	0.493	0.115	0.277	0.97	0.146	0.014	0.034	0.699
474	0.682	0.34	0.273	0.2	0.975	0.147	0.166	0.002	0.739
475	0.678	0.972	0.661	0.579	0.476	0.115	0.018	0.065	0.369
476	0.629	0.67	0.628	0.731	0.54	0.015	0.002	0.016	0.322
477	0.834	0.357	0.708	0.671	0.575	0.004	0.183	0.032	0.414
478	0.974	0.755	0.42	0.964	0.849	0.404	0.008	0.016	0.693
479	0.977	0.376	0.768	0.341	0.402	0.031	0.025	0.3	0.439
480	0.686	0.137	0.45	0.358	0.879	0.163	0.072	0.506	0.395
481	0.821	0.252	0.406	0.216	0.472	0.01	0.021	0.114	0.479
482	0.866	0.467	0.227	0.411	0.82	0.028	0.275	0.016	0.567
483	0.102	0.353	0.506	0.516	0.693	0.008	0.196	0.044	0.347
484	0.33	0.742	0.959	0.197	0.803	0.012	0.002	0.12	0.291
485	0.066	0.087	0.349	0.295	0.803	0.041	0.203	0.061	0.471
486	0.372	0.082	0.492	0.436	0.784	0.013	0.001	0.156	0.31
487	0.749	0.263	0.675	0.899	0.833	0.068	0.001	0.094	0.438
488	0.227	0.133	0.41	0.333	0.528	0.311	0.517	0.005	0.399
489	0.784	0.176	0.258	0.367	0.287	0.01	0.001	0.018	0.802
490	0.814	0.867	0.702	0.549	0.804	0.042	0.006	0.633	0.659
491	0.07	0.688	0.265	0.866	0.247	0.198	0.294	0.16	0.57
492	0.572	0.178	0.434	0.333	0.751	0.149	0.005	0.311	0.49
493	0.836	0.465	0.234	0.631	0.387	0.011	0.002	0.003	0.625
494	0.908	0.676	0.382	0.662	0.479	0.196	0.001	0.037	0.633
495	0.656	0.141	0.178	0.571	0.456	0.057	0.001	0.047	0.666
496	0.2	0.286	0.373	0.596	0.563	0.071	0.001	0.024	0.579
497	0.614	0.104	0.509	0.702	0.051	0.025	0.001	0.009	0.423
498	0.835	0.22	0.076	0.38	0.647	0.002	0.029	0.013	0.696
499	0.404	0.864	0.787	0.672	0.399	0.041	0.022	0.047	0.555
500	0.519	0.882	0.239	0.251	0.724	0.001	0.011	0.237	0.968
